"id","name","price","city","marka","model","color","memory","simkart"
"309","Telefon ""Bakcell"" ","5","Gəncə","Ehtiyat hissələri","null","null","null","null"
"310","Oukitel L3","25","Gəncə","Oukitel","Digər","Bəli","null","null"
"311","Bluetooth qulaqlıq ","18","Gəncə","Aksesuarlar","null","null","null","null"
"312","Bluetooth qulaqlıq","11","Gəncə","Aksesuarlar","Bəli","null","null","null"
"313","Qoruyucu şüşə","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"314","Nokia 2690","33","Gəncə","Nokia","2690","null","null","null"
"315","""Xiaomi Redmi Note 5"" sensoru","45","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"316","Bluetooth qulaqlıq","10","Gəncə","Aksesuarlar","null","null","null","null"
"317","Bluetooth qulaqlıq","12","Gəncə","Aksesuarlar","null","null","null","null"
"318","Bluetooth qulaqlıq ","12","Gəncə","Aksesuarlar","null","null","null","null"
"319","Bluetooth qulaqlıq","20","Gəncə","Aksesuarlar","null","null","null","null"
"320","""Samsung"" telefonların arxalıqları","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"321","""Umi Rome X"" ekranı","50","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"322","""Xiaomi Redmi 4X"" üçün ekran və sensor ","45","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"323","""Umi London"" sensoru","20","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"324","Xiaomi modelləri üçün qoruyucu şüşə ","5","Gəncə","Aksesuarlar","Bəli","null","null","null"
"325","""Umi Rome x Gold"" sensoru","18","Gəncə","Ehtiyat hissələri","Bəli","null","null","null"
"326","Samsung Galaxy Note 3 ","200","Gəncə","Samsung","Galaxy Note 3","Black","16GB/3GB","null"
